INDEX,KIDSDRIV,AGE,HOMEKIDS,YOJ,INCOME,HOME_VAL,TRAVTIME,BLUEBOOK,TIF,OLDCLAIM,CLM_FREQ,MVR_PTS,CAR_AGE,PARENT1,MSTATUS,RED_CAR,REVOKED,TARGET_FLAG,GENDER,COMMERCIAL_CAR_USE,URBAN_CAR,BACHELORS,ELEMENTARY_EDUCATION,MASTERS,PHD,HIGH_SCHOOL,CLERICAL,DOCTOR,HOME_MAKER,LAWYER,MANAGER,PROFESSIONAL,STUDENT,BLUE_COLLAR,MINIVAN,PANEL_TRUCK,PICKUP,SPORTS_CAR,VAN,SUV
1,-0.33442140347068167,1.7636692785750603,-0.6461204747533419,0.12591012579394412,0.11784596697751322,-1.2350730476677048,-1.2249503594327362,-0.17577635899078486,1.3623192545411678,0.04830158822046461,1.037176171546313,0.6075961957983219,1.7523115813611787,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2,-0.33442140347068167,-0.20759923785379888,-0.6461204747533419,0.12591012579394412,0.6388764381065464,0.8165223035930607,-0.7220384594771041,-0.09144548853756919,-1.0494223095514308,-0.45998172415845523,-0.6893704344688752,-0.789715250916906,-1.3277434262458436,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
4,-0.33442140347068167,-1.1352550102909091,0.24973225960989678,-0.1255512215742662,-0.9914516875299844,-0.24464468066404405,-1.7907262468828224,-1.3896657900215796,-0.3258998403236513,3.9483306174556243,1.037176171546313,0.6075961957983219,0.3028739307225799,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5,-0.33442140347068167,0.7200565345833113,-0.6461204747533419,0.8802941678985751,1.5730272297231813e-16,1.2072913573474582,-0.09339858453256394,-0.032057551598684904,0.39762262890412825,-0.45998172415845523,-0.6893704344688752,-0.789715250916906,-0.4218448945967194,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
6,-0.33442140347068167,0.6040995630286725,-0.6461204747533419,4.466850842423225e-16,1.1477351185614864,0.7102389268020067,0.15805736544525212,0.2720086855284026,-1.0494223095514308,1.729590213520474,1.037176171546313,0.6075961957983219,1.5711318750313539,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
7,-0.33442140347068167,-1.2512119818455478,0.24973225960989678,0.3773714731621544,1.3707404841090374,-1.2350730476677048,0.7866972403897923,0.20430643741807455,-1.0494223095514308,-0.45998172415845523,-0.6893704344688752,-0.789715250916906,-0.2406651882668946,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
8,-0.33442140347068167,1.0679274492472277,-0.6461204747533419,4.466850842423225e-16,-0.932733066800256,0.0,-0.030534597038109932,-0.8231048716246235,-1.0494223095514308,-0.45998172415845523,-0.6893704344688752,-0.789715250916906,-1.3277434262458436,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
11,1.620602288308855,-0.9033410671816315,1.1455849939731355,4.466850842423225e-16,0.9958579791556168,1.426038768017663,0.6609692654008842,0.149669535434301,-1.0494223095514308,-0.18948977536052747,0.17390286853871886,3.8679895714671866,-0.2406651882668946,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
12,-0.33442140347068167,-1.2512119818455478,-0.6461204747533419,-0.1255512215742662,0.02334703796070807,-1.2350730476677048,0.03232939045634409,-0.5356672568404236,-1.0494223095514308,-0.45998172415845523,-0.6893704344688752,-0.789715250916906,-1.3277434262458436,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13,-0.33442140347068167,0.6040995630286725,-0.6461204747533419,-0.8799352636788972,0.974043881837393,-1.2350730476677048,0.9124252153787002,0.3325843812060646,0.39762262890412825,-0.45998172415845523,-0.6893704344688752,-0.3239447686784967,1.5711318750313539,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
14,-0.33442140347068167,0.9519704776925889,-0.6461204747533419,0.8802941678985751,0.3286579223293474,-1.2350730476677048,-1.1620863719382821,0.3076414476917332,-1.0494223095514308,-0.45998172415845523,-0.6893704344688752,-0.789715250916906,0.48405363705240473,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
15,-0.33442140347068167,-0.20759923785379888,-0.6461204747533419,-1.3828579584153178,-0.20011233754093868,0.43944639592932433,0.15805736544525212,0.7969980480681397,0.39762262890412825,-0.45998172415845523,-0.6893704344688752,-0.789715250916906,-1.3277434262458436,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
16,-0.33442140347068167,1.1838844208018664,-0.6461204747533419,0.12591012579394412,-0.05915305655499278,0.20228461465729283,-0.533446496993742,0.2244983359772952,0.39762262890412825,0.11290518340514238,1.037176171546313,0.6075961957983219,0.12169422439275507,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
17,-0.33442140347068167,0.9519704776925889,-0.6461204747533419,0.12591012579394412,1.489518135909158,-1.2350730476677048,1.9182490152899645,1.5001512214245296,0.1564484724948684,-0.45998172415845523,-0.6893704344688752,0.6075961957983219,0.3028739307225799,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
19,-0.33442140347068167,0.024314705255478672,-0.6461204747533419,-2.6401646952563693,-1.3382071948510865,-0.3828680982781018,0.9124252153787002,-1.1533018010048202,-1.0494223095514308,-0.45998172415845523,-0.6893704344688752,0.6075961957983219,-0.6030246009265443,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
20,-0.33442140347068167,-0.6714271240723539,2.041437728336374,0.3773714731621544,-0.21649993493163608,0.20801866942676592,0.5981052779064302,-0.6081205399058625,0.1564484724948684,-0.45998172415845523,-0.6893704344688752,-0.789715250916906,0.8464130497120544,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
22,-0.33442140347068167,-0.32355620940843766,-0.6461204747533419,0.12591012579394412,-0.04222497112370511,0.2977857354701443,0.5352412904119762,-0.18052739394589562,0.1564484724948684,-0.45998172415845523,-0.6893704344688752,-0.789715250916906,1.3899521687015288,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
23,-0.33442140347068167,-1.2512119818455478,2.041437728336374,0.6288328205303647,-0.6027326887374526,-0.502366118675577,-0.40771852200483405,-0.8801172910859525,0.39762262890412825,-0.45998172415845523,-0.6893704344688752,-0.789715250916906,2.114670994020828,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
24,-0.33442140347068167,-1.5990828965094641,1.1455849939731355,0.3773714731621544,-0.9295333775999616,-0.48703808909709684,0.9124252153787002,0.1924288500302977,-0.3258998403236513,-0.45998172415845523,-0.6893704344688752,-0.789715250916906,-0.2406651882668946,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
25,-0.33442140347068167,-1.9469538111733806,0.24973225960989678,0.6288328205303647,-0.38528354024716976,0.1254530657711959,-0.281990547015926,-0.8314191827960674,0.1564484724948684,0.5580661117764582,1.037176171546313,-0.789715250916906,-1.3277434262458436,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
26,-0.33442140347068167,-0.20759923785379888,-0.6461204747533419,0.6288328205303647,-0.5336583171500143,0.0,1.1638811653565164,1.2887301659221015,-1.0494223095514308,-0.45998172415845523,-0.6893704344688752,0.6075961957983219,-1.3277434262458436,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
27,-0.33442140347068167,0.372185619919395,-0.6461204747533419,0.8802941678985751,0.7431906299404711,1.0210980656883648,0.15805736544525212,-0.5439815680118675,0.1564484724948684,0.4800176766768034,0.17390286853871886,1.5391371602751405,1.0275927560418792,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
28,-0.33442140347068167,0.25622864836475623,-0.6461204747533419,0.12591012579394412,-0.3376341145887304,-1.2350730476677048,-0.281990547015926,0.4739276711206092,1.1211450981319078,-0.45998172415845523,-0.6893704344688752,-0.3239447686784967,-0.6030246009265443,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
29,3.575625980088392,-0.0916422662991601,1.1455849939731355,-2.6401646952563693,-1.3382071948510865,-0.5783762382970624,-1.6021342843994604,-1.165179388392597,0.1564484724948684,-0.07965226961444392,1.9004494745539071,-0.789715250916906,0.48405363705240473,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
32,-0.33442140347068167,-1.3671689534001867,0.24973225960989678,0.6288328205303647,0.38283644351811735,0.5669832580620275,-0.40771852200483405,0.1330409130914134,0.879970941722648,-0.45998172415845523,-0.6893704344688752,0.1418257135599126,1.208772462371704,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
