idx,predictions,probabilities
3,0,0.8366666666666667
9,1,0.5533333333333333
10,0,0.85
18,0,0.7466666666666667
21,0,0.7766666666666666
30,0,0.6466666666666666
31,0,0.5466666666666666
37,1,0.5833333333333334
39,0,0.9233333333333333
47,0,0.7466666666666667
60,0,0.9133333333333333
62,1,0.5266666666666666
63,1,0.66
64,0,0.7066666666666667
68,0,0.8666666666666667
75,1,0.7033333333333334
76,1,0.53
83,0,0.6966666666666667
87,1,0.6766666666666666
92,1,0.52
98,0,0.6266666666666667
106,1,0.5866666666666667
107,0,0.86
113,0,0.5566666666666666
120,1,0.5066666666666667
123,0,0.5466666666666666
125,0,0.5766666666666667
126,0,0.59
128,0,0.8966666666666666
129,0,0.7533333333333333
131,0,0.89
135,1,0.67
141,0,0.93
147,0,0.9033333333333333
148,0,0.8033333333333333
151,0,0.8833333333333333
156,0,0.6533333333333333
157,0,0.7233333333333334
174,0,0.8666666666666667
186,1,0.64
193,0,0.5033333333333333
195,0,0.5733333333333334
212,0,0.9333333333333333
213,1,0.5533333333333333
217,0,0.9833333333333333
223,0,0.8966666666666666
226,0,0.7266666666666667
228,1,0.7033333333333334
230,0,0.9566666666666667
241,1,0.6233333333333333
243,0,0.8166666666666667
249,0,0.6
281,1,0.8133333333333334
288,0,0.92
294,1,0.51
295,0,0.7933333333333333
300,0,0.5566666666666666
302,0,0.54
303,0,0.8233333333333334
308,1,0.56
319,0,0.9266666666666666
320,0,0.9366666666666666
324,0,0.6166666666666667
331,0,0.8166666666666667
343,0,0.8866666666666667
347,0,0.5833333333333334
348,1,0.8766666666666667
350,1,0.7733333333333333
357,0,0.63
358,0,0.9233333333333333
360,0,0.9466666666666667
366,0,0.6833333333333333
367,0,0.5033333333333333
368,0,0.5833333333333334
376,1,0.61
380,0,0.5833333333333334
388,1,0.5366666666666666
396,0,0.7666666666666667
398,0,0.7366666666666667
403,0,0.97
410,1,0.8033333333333333
412,0,0.63
420,1,0.6233333333333333
434,0,0.9566666666666667
440,1,0.54
450,1,0.5866666666666667
453,0,0.7966666666666666
464,0,0.5533333333333333
465,0,0.9133333333333333
466,1,0.7066666666666667
473,0,0.7
476,0,0.6566666666666666
478,0,0.89
479,0,0.68
493,0,0.9133333333333333
497,0,0.6433333333333333
503,0,0.9566666666666667
504,0,0.62
